title,article_link,school,content,text,time
別人眼中的酒駕,https://www.dcard.tw/f/talk/p/228068661,國立中山大學,"今天陪著媽媽到中醫看醫生
等待的過程中
剛好電視在播 陳喬恩酒駕事件
櫃檯小姐murmur的很大聲
“她又沒有撞到人 只不過是酒駕而已
幹嘛這樣對人家⋯⋯等等”
聽到的當下我真的很生氣
剛好我媽也問怎麼這個事件會鬧這麼大
我就大聲回說 “酒駕本來就是不對的
你不覺得那個小姐講話很沒水準嗎？
什麼叫做酒駕而已
等到真的撞到人才來談對錯嗎？”
真的沒想到還會有人有這種想法
難道都不能防範未然嗎？
酒駕本身行為就不對
有沒有撞到人是其次
如果真的撞到人了
事情就不會只是這樣了
今天因為她是藝人
所以行為被放大檢視
今天做了不好的示範
本來就應該受到應得的懲罰
就是有這些人錯的離譜的觀念
社會上才一堆酒駕的事件層出不窮","罰10萬 又不會怕

撞到人再說",2018-01-05T14:21:09.771Z
酒駕拒測解方?,https://www.dcard.tw/f/tpa/p/255304215,臺灣警察專科學校 行政警察科,"老師有舉一個案子給我們聽，說是有個人酒駕，結果鄰近路檢時停到路邊裝睡，警察上前多次叫喚無果，經過一頓折騰後警察就開了拒測罰單，但是後來駕駛提訴訟後宣判無罪，原因是當中沒有具體的跡證顯示駕駛有喝酒，不能將不服警察公權力的人都當成酒駕之類的，然後老師說，這題的解方就是叫喚駕駛他都不理的話，可以當作懷疑他昏迷不醒有生命危險之虞需要急救，然後破窗把他抓出來“急救”就行了。(當然以上完整描述不只這樣，不過大概是這樣)

那請問以下如何解：假如有個人酒駕，然後遇到要酒測時趕緊停到路邊，停好、熄火、下車，然後直接當場灌口酒，那怎麼辦?這樣還算酒駕嗎？現在測也來不及啦，我是‘’現在‘’喝的啊？我現在也沒有在駕駛了，停到路邊下車然後喝口酒不行喔？那我等一下也沒有要開車了啊，也許我會走路還是搭計程車？

不好意思我讀書少，只是好奇如果遇到這種情況怎麼辦？我思故我在嘛","現實就是刁民會不管三七二十一對你提出告訴 （不管成不成立）
還有要你賠償車窗玻璃
家人會找民意代表出來開記者會
這只是一個工作而已 算了吧 沒有人會挺我們的",2024-04-19T00:59:49.828Z
酒駕可不可取？,https://www.dcard.tw/f/joke/p/232170838,國立中興大學,"酒駕可不可取？
：不可取
那你會不會酒駕？
：不會
那可以娶妳？
：😳😳😳",然後你就被收押了,2019-09-26T03:06:32.891Z
酒駕仔,https://www.dcard.tw/f/ndhu/p/256995540,阿布巴瓦的阿里,"真的酒駕拜託自己撞一撞死掉就好
千萬不要害人：）
東島那台藍色仿賽說的就是你
喝成那樣還說要去繞學校
祝喝完酒騎車的都自撞下地獄🐒",死神要來收割了,2024-10-18T17:05:10.723Z
唯一支持酒駕先鞭刑再死刑,https://www.dcard.tw/f/mood/p/226153511,國立中興大學 獸醫學系,"最近的國際新聞幾乎天天都跟恐攻有關

法國巴黎恐怖攻擊
比利時恐怖攻擊
英國國會外恐怖攻擊
瑞典卡車衝撞恐怖攻擊
埃及爆炸恐怖攻擊44人死亡

台灣呢？

恐怖組織好像完全不把台灣放在眼裡嘛

是嗎？

幹他媽的台灣的恐攻早就改名叫「酒駕」了

我們不怕在捷運遇到炸彈

我們不怕在路上被公車撞

我們只怕喝酒還坐到駕駛座的敗類


隨便google酒駕

花蓮酒駕撞爛巡邏警車
警車追酒駕騎士疑重心不穩過彎翻車
酒駕國道自撞噴出引擎波及無辜四車
無照少年倒臥車道疑酒駕自摔身亡
男酒駕臉紅遭逮瞎扯「喝酒沒影響」
騎士疑酒駕拒檢警車追逐撞護欄翻覆
酒駕撞樹2死車劈半
又是酒駕釀禍！體中輕艇選手遭小黃撞死
下坡彎道失控自撞酒駕男破頭
15年首次！華航外籍機師酒駕被解僱
女酒駕自撞翻車男友拋出亡
運將酒駕撞死18歲趕考生 為驅邪竟穿紅衣到靈堂嗆聲

幹你他媽的到底要醉到什麼時候啦操

人家在努力防範恐攻我們在防範酒駕

是過的太安逸嗎

酒駕罰洗遺體冰櫃？


幹酒駕直接讓你躺進冰櫃了啦幹","無限期支持酒駕肇事致重傷&致死犯一律以殺人犯論處，唯一死刑，一週內槍決

真能做到這樣，保證一個月內讓酒駕在台灣絕跡！",2017-04-10T04:02:16.178Z
關於酒駕,https://www.dcard.tw/f/cnu/p/230088937,嘉南藥理大學 藥學系,"剛剛搭D棟電梯聽到某個女孩和她朋友的對話，好像是很帥的叔叔推薦了某間酒吧給他然後女孩想要不顧酒駕的危險跑去試試（至少我聽到他的心被喀拉喀拉的動搖.............😒
我只想說，不管叔叔多麽帥、叔叔覺得酒駕無所謂（？或是酒吧有多棒，真的真的真的母湯酒駕啊！很多意外發生了不是簡簡單單就能承擔的，無論是肇事者或是或是被害人，再說，如果我判斷沒錯，應該是嘉藥分數偏高的科系，要更能判斷可以做和不能做才對。
我是俗辣，不敢當面說些什麼，只希望那個女孩能夠看到這一篇，也真的能夠做到自重和尊重他人的生命。",酒駕根本意圖謀殺他人......,2018-11-18T14:43:28.081Z
問: 被酒駕撞 權益,https://www.dcard.tw/f/mood/p/238480714,英雄,"請問 :
遭到酒駕撞，對方無第三人責任險，強制險不理賠。

我方被撞受害，有保第三人責任險

保險的方面，形成酒駕保險不用理賠，但我卻要理賠酒駕肇事者（法官還提醒酒駕肇事者要去領錢，肇事者開心的比ya）

形成這樣有點奇怪的局面

我該如何保障我方的權益呢？
（對方無產……恐怕賠不出錢，重點是對方不想賠）","你來亂的吧，亂聽亂問...比完全不懂還慘
1. 酒駕，強制險還是 會理賠.
2. 法官部份更是亂講，台灣法律是不告不理，是他撞妳 也就是非對方告妳 (而是妳告對方)，沒提告 法官根本不會理會.",2022-03-29T15:34:38.676Z
酒駕（?）,https://www.dcard.tw/f/mood/p/227936521,龍華科技大學,"我在超商上班很常遇到有人騎車過來買酒，
然後就在櫃檯面前把酒打開 然後開始喝，
這樣我要不要報警?

完全合理的歸類在預備酒駕了啊……","報警啊⋯
酒駕害死太多人太可惡了",2017-12-18T22:12:50.445Z
#發問 酒駕疑問,https://www.dcard.tw/f/military/p/252930643,mmmmm7383,請問各位本身是義務役轉服志願役，因為酒駕被汰除，那這樣還要把之前義務役的役期當完嗎？,丟臉,2023-08-10T13:59:49.932Z
整天罵酒駕,https://www.dcard.tw/f/trending/p/229846114,台南應用科技大學,"奇怪了 以前只要出現酒駕
下面的留言就會是
幹你娘活該死好拉
酒駕都該槍斃！！！！
之類的

違停沒有比酒駕帶來的傷害還要少
怎麼沒人說要槍斃🤔🤔","違停真的可惡 尤其是貨車違停
我上班的路上常常有這樣的違停
都看不清楚過馬路的時候有沒有來車",2018-10-14T05:16:45.906Z
酒駕3次死2,https://www.dcard.tw/f/trending/p/229983736,中原大學 財經法律學系,"剛剛看到這個新聞，台灣到底怎麼了，酒駕三次死了2個人，媽的有夠想扁他

第一次酒駕自撞小黃，害後座18歲女友喪命
第二次酒駕在三重被抓
第三次在基隆逆向超車撞死19歲現役軍人

而第三次酒駕竟然只判6年有期徒刑，我想請問法官，如果今天被撞死的是你的親人我不相信你會判這麼輕，第一次犯錯就很可惡，還到第三次，而且每次都有家庭被你毀掉

我，支持酒駕唯一鞭刑",反毒陣，哈哈哈哈哈哈哈,2018-11-03T08:09:47.411Z
#新聞 酒駕裝乘客,https://www.dcard.tw/f/mood/p/227595678,08042🌹,"死者是孝女
父親中風兼三份工
是當地有名的孝女
被一位開賓士酒駕的人撞死
甚至假裝自己是乘客

到底為什麼要酒駕
台灣就是判刑不夠重
才會一直不斷有酒駕、性侵等事
為什麼死的偏偏都是好人
為什麼台灣的法律總是保護壞人

坐等這起事件後續的發展
不知道法官會不會說嫌犯可教化ㄏ","到底為什麼酒駕的人都可以這麼不怕死？
你不怕死那你就自己去死啊幹嘛拖累別人
重點是每次酒駕撞死的都是別人不是自己
why???????明明新聞就報一堆害死人的
每次看到酒駕我也都是超他X的生氣",2017-10-31T12:03:46.322Z
#揪團徵人 嘉義跨年揪團,https://www.dcard.tw/f/chiayi/p/257613429,淡江大學,"每年都時間快到才在想跨年計劃～

去年跑到台中玩酒精路跑
今年有點懶
想問還有人沒計劃的嗎？
我目前想法是可揪團一起看一下跨年演唱會活動再跑超商玩酒精路跑如果還有力氣再跑蘭潭看日出（但先說絕對不酒駕肯定是包車上喔）",我沒計劃...,2024-12-28T01:07:02.684Z
酒駕求補血🥺,https://www.dcard.tw/f/tmu/p/238491560,原 PO - 臺北醫學大學,,"鄭重向社會大眾道歉
我從來就不應該酒駕
不珍惜自己的生命 還危害用路人的安全
社會不接受我的道歉我也能理解
最後提醒大家不要學我
務必遵守醉不上道",2022-03-30T21:07:07.289Z
酒駕真的該下地獄,https://www.dcard.tw/f/mood/p/230617528,正修科技大學,每次看到這種新聞真的非常心痛,"這種人真該拖去槍斃！
喝酒還開車出來害人🤬",2019-02-02T14:34:13.468Z
這樣算酒駕嗎？,https://www.dcard.tw/f/funny/p/230433663,國立臺北商業大學,"最近迷戀上一家火鍋店
大家應該也很熟知
搭拉～就是這家","被攔查酒測應該是測的到喔
還是叫車回家比較安全啦",2019-01-04T15:46:45.796Z
藝人過世/酒駕問題,https://www.dcard.tw/f/trending/p/234438021,正修科技大學,"雖然沒有在追星
對他也不是很了解
但還是覺得可惜，祝福他

另外我想說的是
昨天新聞、報紙、自己的臉書、ig什麼的
滿滿的版面都是藝人過世的訊息
不認識他的人也都知道了吧
但是有多少人知道
同一天在台南發生了一起
酒駕闖紅燈造成了一名騎車的婦人過世、男童腦死、女童全身骨折的事件呢？

希望大家同時也能再次地關注酒駕問題
讓台灣政府相關人士再努力的針對酒駕問題作出改革
畢竟酒駕上路就是顆不定時炸彈
無差別、隨機蓄意殺人
被害人都有可能是我們自己或我們心愛的家人",名人的大事永遠蓋過小老百姓的生死,2020-09-16T18:51:44.016Z
讓我們來談談....酒駕?,https://www.dcard.tw/f/talk/p/231402651,國立中正大學,"最近酒駕新聞很多 讓我們來討論看看

所有車禍
幾乎都是在可控原因的情況下發生
A柱 視覺死角 開快車 超車失敗 等等

基本上 開慢一點好像可以非常有效減少事故發生率

但是關於酒駕這塊

假設今天發生了兩起死亡車禍
1.不是酒駕 但是因為某些原因沒睡飽 疲勞駕駛 撞死了人
2.酒駕 撞死人

兩個因 造成的結果是一樣的
各位覺得
""車禍撞死人"" 就是罪該萬死
還是只要""酒駕""就罪該萬死

網路新聞留言下方通常都是該死刑 未遂殺人等言論
我身邊的人都覺得酒駕就是該死刑
如果酒駕該死刑
是不是所有""應注意而未注意造成他人死亡""的事故 都應該死刑呢?

酒駕撞死人 死刑?
疲勞駕駛 撞死人 死刑?
超速 撞死人 死刑?
闖紅燈 撞死人 死刑?
開車沒開注意後方來車 害別人摔車被輾斃 死刑?

希望各位的切入點是關於""酒駕""這兩個字 我們會不會放太大了?","媒體的功勞
順帶一提酒駕修法過囉",2019-05-31T17:44:21.396Z
對於酒駕這件事...,https://www.dcard.tw/f/trending/p/234565815,實踐大學,"看到新聞已經沒有所謂的震驚了，反而是感慨
或許過不久，再看到類似新聞，就是無感了
反正又是酒駕...

台灣是不是對於酒駕這件事真的沒輒🧐？",因為撞到的都不是法官家人,2020-10-07T04:32:02.552Z
在酒駕啊馬的,https://www.dcard.tw/f/mood/p/228446136,雪梨大學 心理學院,,"再啦幹
哈哈",2018-03-08T05:30:37.777Z
