title,time,summary,image_url,article_link,like_count,comment_count,save_count
酒駕丹,2024-06-21T13:22:39.584Z,"中職
6 月 21 日",https://megapx-assets.dcard.tw/images/3f65ce57-2d82-4564-9907-9188f3c3b492/160.jpeg,https://www.dcard.tw/f/cpbl/p/255915001,0,0,9
酒駕仔,2024-06-10T07:37:40.185Z,"中職
6 月 10 日",https://megapx-assets.dcard.tw/images/3f65ce57-2d82-4564-9907-9188f3c3b492/160.jpeg,https://www.dcard.tw/f/cpbl/p/255805041,0,0,4
酒駕拒測解方?,2024-04-18T13:09:14.508Z,"臺灣警察專科學校
4 月 18 日",https://megapx-assets.dcard.tw/images/41eeaecd-9ea2-48ad-9ad3-12c47dd590e2/160.jpeg,https://www.dcard.tw/f/tpa/p/255304215,0,22,13
酒駕要被抓才叫酒駕,2021-12-29T08:41:22.020Z,"閒聊
2021 年 12 月 29 日",https://megapx-assets.dcard.tw/images/64a9df3c-3e66-487f-984b-cefc83bfc360/160.jpeg,https://www.dcard.tw/f/talk/p/237780282,0,0,2
酒駕,2021-12-28T08:36:54.602Z,"閒聊
2021 年 12 月 28 日",https://megapx-assets.dcard.tw/images/64a9df3c-3e66-487f-984b-cefc83bfc360/160.jpeg,https://www.dcard.tw/f/talk/p/237772598,0,2,1
酒駕的人,2024-11-02T06:57:10.969Z,"閒聊
11 月 2 日",https://megapx-assets.dcard.tw/images/64a9df3c-3e66-487f-984b-cefc83bfc360/160.jpeg,https://www.dcard.tw/f/talk/p/257126011,0,1,0
別人眼中的酒駕,2018-01-05T13:55:38.871Z,"閒聊
2018 年 1 月 5 日",https://megapx-assets.dcard.tw/images/64a9df3c-3e66-487f-984b-cefc83bfc360/160.jpeg,https://www.dcard.tw/f/talk/p/228068661,0,4,2
酒駕都該死,2016-01-02T17:18:15.842Z,"心情
2016 年 1 月 3 日",https://megapx-assets.dcard.tw/images/c05525f3-b367-4dc9-a41b-bd51c6210362/160.jpeg,https://www.dcard.tw/f/mood/p/943605,0,6,0
酒駕請去死好嗎,2016-07-30T06:07:55.404Z,"心情
2016 年 7 月 30 日",https://megapx-assets.dcard.tw/images/c05525f3-b367-4dc9-a41b-bd51c6210362/160.jpeg,https://www.dcard.tw/f/mood/p/224454637,0,37,4
酒駕判定疑問,2024-12-10T08:57:04.315Z,"中興大學
12 月 10 日",https://megapx-assets.dcard.tw/images/51f16f78-0cb8-4a15-84f4-67bfb4ec58f7/160.jpeg,https://www.dcard.tw/f/nchu/p/257462427,0,0,5
藝人酒駕，輕輕放下,2018-01-03T20:22:08.770Z,"心情
2018 年 1 月 4 日",https://megapx-assets.dcard.tw/images/c05525f3-b367-4dc9-a41b-bd51c6210362/160.jpeg,https://www.dcard.tw/f/mood/p/228047752,0,3,3
在台灣開車30年沒出過車禍是什麼等級?,2024-12-22T07:02:57.836Z,"閒聊
2 天",https://megapx-assets.dcard.tw/images/64a9df3c-3e66-487f-984b-cefc83bfc360/160.jpeg,https://www.dcard.tw/f/talk/p/257564427,0,9,0
7度酒駕的人打臉酒駕零容忍。,2023-09-02T01:25:44.493Z,"心情
2023 年 9 月 2 日",https://megapx-assets.dcard.tw/images/c05525f3-b367-4dc9-a41b-bd51c6210362/160.jpeg,https://www.dcard.tw/f/mood/p/253141675,0,3,0
酒駕該不該重罰？,2017-07-01T07:55:00.090Z,"心情
2017 年 7 月 1 日",https://megapx-assets.dcard.tw/images/c05525f3-b367-4dc9-a41b-bd51c6210362/160.jpeg,https://www.dcard.tw/f/mood/p/226722227,0,111,0
酒駕者現身說法,2023-01-04T08:54:51.174Z,"心情
2023 年 1 月 4 日",https://megapx-assets.dcard.tw/images/c05525f3-b367-4dc9-a41b-bd51c6210362/160.jpeg,https://www.dcard.tw/f/mood/p/240925903,0,3,0
酒駕很爽嗎？不然怎麼酒駕意外常常發生,2021-12-27T01:52:15.905Z,"心情
2021 年 12 月 27 日",https://megapx-assets.dcard.tw/images/c05525f3-b367-4dc9-a41b-bd51c6210362/160.jpeg,https://www.dcard.tw/f/mood/p/237762553,0,0,0
拒測算酒駕嗎？,2024-09-10T04:14:10.021Z,"籃球
9 月 10 日",https://megapx-assets.dcard.tw/images/a5666150-9277-4fb5-be6b-72a600c8a09e/160.jpeg,https://www.dcard.tw/f/basketball/p/256617553,0,0,0
酒駕肇事,2019-02-02T16:54:58.532Z,"心情
2019 年 2 月 3 日",https://megapx-assets.dcard.tw/images/c05525f3-b367-4dc9-a41b-bd51c6210362/160.jpeg,https://www.dcard.tw/f/mood/p/230618597,0,3,2
老警察就是愛酒駕,2019-03-19T11:19:21.477Z,"臺灣警察專科學校
2019 年 3 月 19 日",https://megapx-assets.dcard.tw/images/41eeaecd-9ea2-48ad-9ad3-12c47dd590e2/160.jpeg,https://www.dcard.tw/f/tpa/p/230916212,0,0,4
酒駕罰則是要提高了沒？,2024-11-12T13:41:52.503Z,"時事
11 月 12 日",https://megapx-assets.dcard.tw/images/4c8abb6f-513d-4d9c-ae20-a11f7642172a/160.jpeg,https://www.dcard.tw/f/trending/p/257219894,0,0,1
酒駕是蓄意殺人?,2018-03-15T05:39:09.343Z,"閒聊
2018 年 3 月 15 日",https://megapx-assets.dcard.tw/images/64a9df3c-3e66-487f-984b-cefc83bfc360/160.jpeg,https://www.dcard.tw/f/talk/p/228492843,0,49,1
酒駕害我很恐慌,2019-02-03T11:05:06.169Z,"心情
2019 年 2 月 3 日",https://megapx-assets.dcard.tw/images/c05525f3-b367-4dc9-a41b-bd51c6210362/160.jpeg,https://www.dcard.tw/f/mood/p/230622059,0,5,0
三度酒駕二次上演,2021-12-27T15:39:36.001Z,"時事
2021 年 12 月 27 日",https://megapx-assets.dcard.tw/images/4c8abb6f-513d-4d9c-ae20-a11f7642172a/160.jpeg,https://www.dcard.tw/f/trending/p/237768253,0,21,3
#法規問題 酒駕攔檢卻不是酒駕攔檢？,2021-03-13T03:56:30.694Z,"警察
2021 年 3 月 13 日",https://megapx-assets.dcard.tw/images/57169ea1-2768-4490-8941-d6a880902304/160.jpeg,https://www.dcard.tw/f/police/p/235539263,0,0,1
我酒駕了,2022-05-05T11:47:32.049Z,"心情
2022 年 5 月 5 日",https://megapx-assets.dcard.tw/images/c05525f3-b367-4dc9-a41b-bd51c6210362/160.jpeg,https://www.dcard.tw/f/mood/p/238803722,0,0,1
#心情 恨透酒駕,2023-08-27T11:50:25.740Z,"軍旅
2023 年 8 月 27 日",https://megapx-assets.dcard.tw/images/cfc2ea90-1dc0-4d1e-843c-83191dc6b537/160.jpeg,https://www.dcard.tw/f/military/p/253088591,0,13,1
酒駕要怎麼勸導?,2019-04-03T11:58:22.826Z,"心情
2019 年 4 月 3 日",https://megapx-assets.dcard.tw/images/c05525f3-b367-4dc9-a41b-bd51c6210362/160.jpeg,https://www.dcard.tw/f/mood/p/231016341,0,4,1
無照女大生載同學「練機車」，闖紅燈遭貨車撞飛15公尺,2024-10-25T03:45:33.939Z,"閒聊
10 月 25 日",https://megapx-assets.dcard.tw/images/64a9df3c-3e66-487f-984b-cefc83bfc360/160.jpeg,https://www.dcard.tw/f/talk/p/257052439,0,0,0
如何有效的預防「酒駕」,2022-09-17T11:05:14.245Z,"焱
2022 年 9 月 17 日",https://megapx-assets.dcard.tw/images/52f48131-14d7-44a3-b0d2-32ffc5f01c3d/160.jpeg,https://www.dcard.tw/f/persona_firefirefire/p/240013887,0,0,39
酒駕有什麼解法🤔,2021-12-27T08:28:23.987Z,"汽車
2021 年 12 月 27 日",https://megapx-assets.dcard.tw/images/5de56132-1dc1-4b75-a056-9d7325974345/160.jpeg,https://www.dcard.tw/f/car/p/237764992,0,25,3
酒駕害死人？,2019-02-02T17:35:40.051Z,"閒聊
2019 年 2 月 3 日",https://megapx-assets.dcard.tw/images/64a9df3c-3e66-487f-984b-cefc83bfc360/160.jpeg,https://www.dcard.tw/f/talk/p/230618841,0,24,0
腳踏車酒駕,2022-08-26T04:40:43.359Z,"軍旅
2022 年 8 月 26 日",https://megapx-assets.dcard.tw/images/cfc2ea90-1dc0-4d1e-843c-83191dc6b537/160.jpeg,https://www.dcard.tw/f/military/p/239802877,0,32,4
酒駕去死,2017-02-02T23:05:03.982Z,"心情
2017 年 2 月 3 日",https://megapx-assets.dcard.tw/images/c05525f3-b367-4dc9-a41b-bd51c6210362/160.jpeg,https://www.dcard.tw/f/mood/p/225733882,0,2,0
又是酒駕...,2017-11-15T04:34:53.247Z,"心情
2017 年 11 月 15 日",https://megapx-assets.dcard.tw/images/c05525f3-b367-4dc9-a41b-bd51c6210362/160.jpeg,https://www.dcard.tw/f/mood/p/227707698,0,7,0
電動滑板車何時可合法上路?,2024-11-13T20:20:23.326Z,"閒聊
11 月 14 日",https://megapx-assets.dcard.tw/images/64a9df3c-3e66-487f-984b-cefc83bfc360/160.jpeg,https://www.dcard.tw/f/talk/p/257231577,0,1,1
酒駕害死警察👮,2017-03-25T10:03:43.135Z,"有趣
2017 年 3 月 25 日",https://megapx-assets.dcard.tw/images/d45f9407-d676-4e38-9da3-2a99cf2f0895/160.jpeg,https://www.dcard.tw/f/funny/p/226050140,0,9,4
有政府會酒駕,2021-07-14T04:02:15.554Z,"時事
2021 年 7 月 14 日",https://megapx-assets.dcard.tw/images/4c8abb6f-513d-4d9c-ae20-a11f7642172a/160.jpeg,https://www.dcard.tw/f/trending/p/236482434,0,0,2
如何檢舉酒駕,2019-10-06T07:21:55.618Z,"心情
2019 年 10 月 6 日",https://megapx-assets.dcard.tw/images/c05525f3-b367-4dc9-a41b-bd51c6210362/160.jpeg,https://www.dcard.tw/f/mood/p/232242021,0,3,0
關於酒駕,2018-11-18T14:23:36.653Z,"嘉南藥理大學
2018 年 11 月 18 日",https://megapx-assets.dcard.tw/images/8f8641e4-b2ca-44cd-8e31-0eac849dda92/160.jpeg,https://www.dcard.tw/f/cnu/p/230088937,0,0,2
誰酒駕,2023-05-14T03:53:57.975Z,"臺灣警察專科學校
2023 年 5 月 14 日",https://megapx-assets.dcard.tw/images/41eeaecd-9ea2-48ad-9ad3-12c47dd590e2/160.jpeg,https://www.dcard.tw/f/tpa/p/242020181,0,0,4
不許酒駕,2017-04-29T14:58:57.872Z,"彩虹
2017 年 4 月 29 日",https://megapx-assets.dcard.tw/images/8cf206ab-0dd6-4b5b-92b0-56b1daeac943/160.jpeg,https://www.dcard.tw/f/rainbow/p/226288232,0,22,83
酒駕3次死2,2018-11-03T07:54:47.692Z,"時事
2018 年 11 月 3 日",https://megapx-assets.dcard.tw/images/4c8abb6f-513d-4d9c-ae20-a11f7642172a/160.jpeg,https://www.dcard.tw/f/trending/p/229983736,0,4,2
#發問 酒駕疑問,2023-08-10T05:11:49.038Z,"軍旅
2023 年 8 月 10 日",https://megapx-assets.dcard.tw/images/cfc2ea90-1dc0-4d1e-843c-83191dc6b537/160.jpeg,https://www.dcard.tw/f/military/p/252930643,0,0,2
司法已死，台灣不再安全,2024-10-17T15:21:02.702Z,"心情
10 月 17 日",https://megapx-assets.dcard.tw/images/c05525f3-b367-4dc9-a41b-bd51c6210362/160.jpeg,https://www.dcard.tw/f/mood/p/256985715,0,0,1
問: 被酒駕撞 權益,2022-03-29T14:52:51.903Z,"心情
2022 年 3 月 29 日",https://megapx-assets.dcard.tw/images/c05525f3-b367-4dc9-a41b-bd51c6210362/160.jpeg,https://www.dcard.tw/f/mood/p/238480714,0,2,0
#諮詢 酒駕問題,2021-01-14T17:02:49.748Z,"法律人
2021 年 1 月 15 日",https://megapx-assets.dcard.tw/images/6280dbbb-2875-49dc-9eb3-b5e48e034899/160.jpeg,https://www.dcard.tw/f/lawyer/p/235173115,0,6,0
酒駕求補血🥺,2022-03-30T21:06:52.538Z,"臺北醫學大學
2022 年 3 月 31 日",https://megapx-assets.dcard.tw/images/a82a3a4a-36c8-40d6-b850-62855ee74765/160.jpeg,https://www.dcard.tw/f/tmu/p/238491560,0,0,1
整天罵酒駕,2018-10-14T04:57:16.075Z,"時事
2018 年 10 月 14 日",https://megapx-assets.dcard.tw/images/4c8abb6f-513d-4d9c-ae20-a11f7642172a/160.jpeg,https://www.dcard.tw/f/trending/p/229846114,0,10,4
酒駕真的該下地獄,2019-02-02T14:28:02.054Z,"心情
2019 年 2 月 2 日",https://megapx-assets.dcard.tw/images/c05525f3-b367-4dc9-a41b-bd51c6210362/160.jpeg,https://www.dcard.tw/f/mood/p/230617528,0,1,0
酒駕修法 #酒駕 #修法,2017-04-23T13:58:58.824Z,"時事
2017 年 4 月 23 日",https://megapx-assets.dcard.tw/images/4c8abb6f-513d-4d9c-ae20-a11f7642172a/160.jpeg,https://www.dcard.tw/f/trending/p/226247594,0,11,1
🐒發限動說自己酒駕開160撞到人？,2024-11-30T18:10:16.104Z,"閒聊
12 月 1 日",https://megapx-assets.dcard.tw/images/64a9df3c-3e66-487f-984b-cefc83bfc360/160.jpeg,https://www.dcard.tw/f/talk/p/257378555,0,0,0
痛恨酒駕,2018-05-20T11:24:22.451Z,"心情
2018 年 5 月 20 日",https://megapx-assets.dcard.tw/images/c05525f3-b367-4dc9-a41b-bd51c6210362/160.jpeg,https://www.dcard.tw/f/mood/p/228915940,0,3,0
如何檢舉酒駕???,2016-11-17T02:28:36.825Z,"心情
2016 年 11 月 17 日",https://megapx-assets.dcard.tw/images/c05525f3-b367-4dc9-a41b-bd51c6210362/160.jpeg,https://www.dcard.tw/f/mood/p/225209897,0,0,0
#閒聊 讓AI攝影機抓酒駕、毒駕,2024-12-17T03:31:49.102Z,"投票
12 月 17 日",https://megapx-assets.dcard.tw/images/1bb531c5-240d-45ac-8bd4-edc931d51fe7/160.jpeg,https://www.dcard.tw/f/vote/p/257520590,0,0,1
藝人過世/酒駕問題,2020-09-16T18:46:49.895Z,"時事
可疑帳號
2020 年 9 月 17 日",https://megapx-assets.dcard.tw/images/97586e4d-8b8b-4a10-8ab9-8266a5e93454/160.jpeg,https://www.dcard.tw/f/trending/p/234438021,0,1,0
酒駕😡😡😡😡😡,2021-12-28T14:39:22.240Z,"閒聊
2021 年 12 月 28 日",https://megapx-assets.dcard.tw/images/64a9df3c-3e66-487f-984b-cefc83bfc360/160.jpeg,https://www.dcard.tw/f/talk/p/237775238,0,0,0
猴子酒駕,2021-05-12T15:11:16.562Z,"嘉南藥理大學
2021 年 5 月 12 日",https://megapx-assets.dcard.tw/images/8f8641e4-b2ca-44cd-8e31-0eac849dda92/160.jpeg,https://www.dcard.tw/f/cnu/p/235973159,0,58,8
與酒駕有關的電影,2019-05-14T01:19:08.689Z,"南華大學
2019 年 5 月 14 日",https://megapx-assets.dcard.tw/images/2b2c38ee-5e9d-41fd-99a5-352fb537f3b7/160.jpeg,https://www.dcard.tw/f/nhu/p/231283615,0,8,0
